id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
849779436269875991,Appartement Lyon Part-Dieu,81248252,Aiman,,3e Arrondissement,45.75995998283834,4.870095918122985,Entire home/apt,65,2,6,2023-10-07,0.58,1,329,6,Exempt - hotel-type listing
849818550713019443,"Le Burdeau, rénové en centre-ville",10074743,Charlie,,1er Arrondissement,45.7701113,4.8310673,Entire home/apt,65,2,36,2024-03-17,3.07,1,0,36,6938113357271
849973424258563249,Appt chaleureux au cœur de Lyon,144401665,Douchka,,2e Arrondissement,45.74808001398797,4.828468778381542,Entire home/apt,,2,2,2023-07-16,0.19,2,0,2,6938213205509
850288863838879497,Appartement en bail mobilité,45591658,Marielle,,3e Arrondissement,45.75425792721655,4.866148264170728,Entire home/apt,35,60,0,,,2,75,0,"Available with a mobility lease only (""bail mobilité"")"
850405633543168905,Appartement dernier étage Lyon 7,120911710,Genevieve,,7e Arrondissement,45.74786964706189,4.857249050618361,Entire home/apt,,4,9,2023-11-11,0.77,1,0,9,6938713545761
851168928581121535,Magnifique appartement Lyon 3eme,82003285,Mehdi,,3e Arrondissement,45.7560085,4.8441689,Entire home/apt,,2,62,2024-03-21,5.78,1,2,62,6938313551118
851296724278722468,Location T4 85M²,114593387,Mounir,,8e Arrondissement,45.73084,4.85114,Entire home/apt,61,3,6,2023-06-25,0.56,3,87,6,6938813545833
851336848900176659,Un lit dans une chambre partagée femme seulement,456709432,Dhouha,,9e Arrondissement,45.78764,4.79482,Shared room,23,1,29,2024-01-03,2.42,1,361,29,
851338997932674999,Dify Luxury - Place Bellecour,507610557,Clothilde & Laurine,,2e Arrondissement,45.75353103697695,4.827709391785392,Entire home/apt,97,1,30,2024-03-11,2.63,41,332,30,6938313010094
851396068664040182,"Charmant T3 avec Jardin - St Just, vers Vieux Lyon",68723930,Loris,,5e Arrondissement,45.75801309011858,4.811487011611462,Entire home/apt,111,2,36,2024-03-17,3.01,2,313,36,6938513267485
851512286821943526,"Grand T2 pour 4 pers - St Just, vers Vieux Lyon",68723930,Loris,,5e Arrondissement,45.757908294356085,4.811474271118641,Entire home/apt,101,2,61,2024-03-19,5.11,2,326,61,0693852200234
